tier,n_clusters,gmm_bic_mean_f1,gmm_bic_median_f1,gmm_bic_mean_precision,gmm_bic_median_precision,gmm_bic_mean_recall,gmm_bic_median_recall,gmm_bic_mean_contam,gmm_bic_median_contam,gmm_bic_mean_runtime_s,gmm_bic_median_runtime_s,heuristic_cut_mean_f1,heuristic_cut_median_f1,heuristic_cut_mean_precision,heuristic_cut_median_precision,heuristic_cut_mean_recall,heuristic_cut_median_recall,heuristic_cut_mean_contam,heuristic_cut_median_contam,heuristic_cut_mean_runtime_s,heuristic_cut_median_runtime_s,hdbscan_mean_f1,hdbscan_median_f1,hdbscan_mean_precision,hdbscan_median_precision,hdbscan_mean_recall,hdbscan_median_recall,hdbscan_mean_contam,hdbscan_median_contam,hdbscan_mean_runtime_s,hdbscan_median_runtime_s,mctnc_mean_f1,mctnc_median_f1,mctnc_mean_precision,mctnc_median_precision,mctnc_mean_recall,mctnc_median_recall,mctnc_mean_contam,mctnc_median_contam,mctnc_mean_runtime_s,mctnc_median_runtime_s
0,204,0.7894810653411632,1.0,0.782046055772861,1.0,0.8108897286379236,1.0,0.21795394422713907,0.0,0.987027749999577,0.9726238500443287,0.9213835155837947,1.0,0.9181675969671216,1.0,0.9329166321035399,1.0,0.08183240303287848,0.0,0.011575109315648008,0.010570000042207501,0.9212567849079815,1.0,0.9219177906005745,1.0,0.923591834108992,1.0,0.07808220939942558,0.0,0.030833979411837863,0.02958135000153555,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.1366312671584013,0.13027540000621224
1,74,0.8351155749809704,0.9954334090956483,0.8339828701728265,1.0,0.8443240607725248,0.9955357142857143,0.1660171298271735,0.0,0.8649777810897905,0.9096630000276492,0.9664702703263736,1.0,0.9625208776908728,1.0,0.9826427770971754,1.0,0.03747912230912709,0.0,0.015234751349969442,0.01314635004382575,0.9389880459468717,0.9977578475336323,0.9413401362871983,1.0,0.9369174599432866,1.0,0.05865986371280172,0.0,0.03675538243181571,0.03505885000049595,0.9846249761239758,0.9845356715823038,0.9996193376475067,1.0,0.9701538805584466,0.9695423623995052,0.00038066235249333783,0.0,0.13707066892577027,0.13169535004999483
2,60,0.8020911041093837,0.9940865234982882,0.7972091897713933,1.0,0.826715069824484,1.0,0.2027908102286067,0.0,0.8978889716692113,0.8962890999973752,0.9576577993131088,1.0,0.9519145335978579,1.0,0.9827433064245703,1.0,0.048085466402142146,0.0,0.015356543324499655,0.013773649989161599,0.9305075348884041,1.0,0.9358558545297326,1.0,0.9321513909144096,1.0,0.06414414547026741,0.0,0.036586156666574686,0.0347950999966997,0.9129009033427565,0.9519969278033794,0.9993299172250689,1.0,0.8567149289074719,0.9083916083916084,0.00067008277493102,0.0,0.14535660667655362,0.138189350022003
3,7,0.051948051948051945,0.0,0.03188775510204082,0.0,0.1400560224089636,0.0,0.9681122448979592,1.0,0.7685306428798607,0.8869597000302747,0.18562847628236193,0.178743961352657,0.11532084723616287,0.0986666666666666,0.5555871579400992,0.9487179487179488,0.8846791527638371,0.9013333333333332,0.013213485695554717,0.0137790999142453,0.6413333849988737,0.761904761904762,0.5756966010933892,0.6153846153846154,0.8543417366946778,1.0,0.4243033989066108,0.3846153846153846,0.0315101714285057,0.0313664999994216,0.5088646283642315,0.3663003663003663,0.42620987904274493,0.2242152466367713,0.8365384615384616,1.0,0.573790120957255,0.7757847533632287,0.18458887139734412,0.1684274999424815
4,14,0.09159506499228905,0.0,0.08294633642930857,0.0,0.14215686274509803,0.0,0.9170536635706915,1.0,0.8460760214366019,0.848112800042145,0.19343970723799037,0.15148868536178514,0.12356200768050017,0.08233642861790424,0.6254364168005273,0.9237012987012987,0.8764379923194998,0.9176635713820955,0.014812978566624165,0.0124953999766148,0.8090639307026469,0.958168456755229,0.7575040582825613,0.9197916666666666,0.99196735753503,1.0,0.2424959417174386,0.0802083333333333,0.03328921428588464,0.0321183500018378,0.9515814842812811,0.956893348197696,0.926261067869166,0.9258241758241759,0.9788240060914648,1.0,0.07373893213083392,0.0741758241758241,0.16555830714891528,0.14527659997111186
