method,n_clusters,mean_f1,median_f1,p90_f1,mean_precision,mean_recall,mean_contam,median_runtime_s,success_frac_f1_ge_0_9
mctnc,359,0.9708091799783486,1.0,1.0,0.9857458220693236,0.9658874323449111,0.014254177930676404,0.1319242001045495,0.958217270194986
hdbscan,359,0.9166244577700007,1.0,1.0,0.915088255329146,0.9290853615912402,0.08491174467085406,0.0313664999994216,0.9108635097493036
heuristic_cut,359,0.8940057392126483,1.0,1.0,0.8863084144414178,0.9321458963247224,0.11369158555858218,0.0119137999136,0.8467966573816156
gmm_bic,359,0.7593986724186087,0.9932885906040269,1.0,0.7533959391433455,0.7812673469751152,0.2466040608566546,0.948052000021562,0.7353760445682451
