cluster,gmm_bic_precision,gmm_bic_recall,gmm_bic_f1,gmm_bic_contam,gmm_bic_runtime_s,hdbscan_precision,hdbscan_recall,hdbscan_f1,hdbscan_contam,hdbscan_runtime_s,heuristic_cut_precision,heuristic_cut_recall,heuristic_cut_f1,heuristic_cut_contam,heuristic_cut_runtime_s,mctnc_precision,mctnc_recall,mctnc_f1,mctnc_contam,mctnc_runtime_s,tier,best_baseline,best_baseline_f1,delta_mctnc_minus_best
UBC1068,0.0,0.0,0.0,1.0,1.046570900012739,0.0996677740863787,1.0,0.1812688821752265,0.9003322259136213,0.0299568000045837,0.1421800947867298,1.0,0.2489626556016597,0.8578199052132701,0.012029500096105,0.9032258064516128,0.9333333333333332,0.918032786885246,0.0967741935483871,0.1435782000189647,4,heuristic_cut,0.2489626556016597,0.6690701312835863
UBC1267,0.0,0.0,0.0,1.0,0.9047155000735074,0.0997442455242966,1.0,0.1813953488372092,0.9002557544757033,0.0313664999994216,0.0986666666666666,0.9487179487179488,0.178743961352657,0.9013333333333332,0.0138838000129908,0.7954545454545454,0.8974358974358975,0.8433734939759037,0.2045454545454545,0.1612645999994129,3,hdbscan,0.1813953488372092,0.6619781451386945
UBC1202,0.0,0.0,0.0,1.0,0.4889242000645026,0.1385869565217391,1.0,0.2434367541766109,0.8614130434782609,0.0343241999944439,0.2752808988764045,0.9607843137254902,0.4279475982532751,0.7247191011235955,0.0146213000407442,0.98,0.9607843137254902,0.9702970297029702,0.02,0.1289307000115513,4,heuristic_cut,0.4279475982532751,0.542349431449695
UBC1304,0.0,0.0,0.0,1.0,0.6805641000391915,0.5316455696202531,0.9545454545454546,0.6829268292682926,0.4683544303797469,0.0306104999981471,0.2781456953642384,0.9545454545454546,0.4307692307692307,0.7218543046357616,0.0119715000037103,0.9069767441860463,0.9285714285714286,0.9176470588235294,0.0930232558139535,0.1267083999700844,4,hdbscan,0.6829268292682926,0.23472022955523675
