Cluster,n_truth,n_release,n_tp,n_fn,n_fp,ks_stat,ks_pvalue,g_median_truth,g_median_release,delta_g_median,g_q90_truth,g_q90_release,delta_g_q90
UBC1194,64,307,0,64,307,0.5955313517915309,3.4595137240480977e-18,16.1234515,18.021244,1.8977924999999978,17.4085505,19.3023488,1.8937983000000003
UBC1103,50,287,50,0,237,0.5786759581881533,6.847169412506773e-14,15.245852,17.788103,2.5422510000000003,17.3563893,19.209201399999998,1.8528120999999977
UBC1237,51,223,50,1,173,0.42266772179723905,3.3088065906591363e-07,16.599504,17.516169,0.9166650000000018,17.553473,19.1254856,1.5720126000000008
UBC1265,48,320,46,2,274,0.4166666666666667,4.845438122047896e-07,16.6673665,17.703611000000002,1.0362445000000022,17.719413,19.0124261,1.2930130999999996
UBC1015,565,360,360,205,0,0.10147492625368731,0.01975939248979127,16.458641,16.1733075,-0.28533350000000013,17.67769,17.5964156,-0.08127439999999808
