source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,parallax
1978880278705396480,14.908975,15.2065525,14.429296,0.77725697,0.1936539469409549
1978880617988390656,17.79578,18.255997,16.954248,1.3017483,0.2157705026910617
1978892648211161344,16.730017,17.057333,16.237722,0.8196106,0.177949214663117
2162381931778991360,16.756168,17.555449,15.863131,1.692318,0.4054044028053555
2162389216051329664,16.811392,17.60772,15.937231,1.6704884,0.3821423402986449
2162392785157672320,17.453554,18.41153,16.508389,1.903141,0.3555030501722743
2162394400065524096,17.984484,18.93301,17.0648,1.8682098,0.381233945715683
2162414436094945152,17.482916,18.372242,16.493992,1.8782501,0.4372551308693471
2163424230145018752,17.853106,18.631876,16.987738,1.6441383,0.4720755690806915
2163425226576923904,10.0201645,10.334911,9.512236,0.8226757,0.482588581390922
2163597407542937088,13.511117,13.681273,13.224385,0.4568882,0.4107826086995257
2163600362480987648,16.528769,16.950552,15.954727,0.9958248,0.391085068716906
2163603519256216192,17.333046,17.82222,16.672728,1.1494923,0.2537075369995937
2163619191617820800,16.034563,16.426447,15.459774,0.9666729,0.3054791206549283
2163677019060460160,16.640472,17.460678,15.736642,1.7240362,0.1005298422998839
2163678977565743488,15.543721,16.863226,14.4229145,2.4403114,0.1138103166452585
2164251857477447808,15.239684,15.495544,14.771205,0.7243395,0.2926406057626068
2164258145310326144,16.191471,16.608076,15.512956,1.0951204,0.2975633751652856
2165266294387063424,15.067969,15.45467,14.500719,0.9539509,0.4997447551361133
2165501448123675264,16.765614,17.954123,15.678553,2.27557,0.2504101262106164
2165503823258501632,16.777697,17.778177,15.785917,1.99226,0.1938681595224016
2165506017969173376,16.981508,17.841354,16.040539,1.8008156,0.3144377451863638
2165951942959721216,15.069119,15.521447,14.427834,1.0936136,0.2349355610043896
2166806916338608896,16.75112,17.426107,15.953891,1.4722166,0.3377877433925251
2166898931720757376,15.599695,16.24903,14.809257,1.4397726,0.3220598648304204
2167088563111680768,14.557023,14.95066,13.961359,0.9893007,0.3226919580421709
2167089727032516736,17.809437,18.599174,16.959387,1.6397877,0.3571905371140983
2167090143656314112,17.890207,19.187563,16.783897,2.4036655,0.3249661600997475
2167091277527807488,16.572607,17.430122,15.653109,1.7770138,0.3391759958466532
2167116119622064512,15.850035,16.305817,15.219135,1.0866814,0.3257392128030377
2168819744163688960,16.389612,17.268255,15.45517,1.8130856,0.389387047469489
2168825035563707008,15.301281,16.161222,14.376277,1.7849455,0.4087446873860224
2168829914646614016,17.152876,18.107016,16.185051,1.9219646,0.4046445482173119
2170947127371176576,15.040749,15.387803,14.509828,0.87797546,0.3720661178265788
2170947127373934208,10.059411,11.202574,9.017974,2.1845999,0.3856096623188336
2170947196090649472,16.949978,17.690514,16.110302,1.5802116,0.3568932131483568
2170947848925674112,14.894227,15.200167,14.414874,0.7852926,0.3377364437905145
2171340683811481344,17.507698,18.364313,16.612427,1.7518864,0.5542719852468317
2171345631614325376,17.278023,17.881857,16.53439,1.3474674,0.547150261392397
2171347383960658688,15.695482,16.186434,15.030454,1.1559801,0.5824076322756665
2171913735528718080,12.554805,12.832758,12.109745,0.7230129,0.5922742412706052
1962636678017985920,15.881448,16.385479,15.217173,1.1683064,0.346112652688741
1972761045505995008,17.865753,18.359701,17.228943,1.1307583,0.20415411415305
1972783555436533760,17.542435,18.003777,16.901514,1.1022625,0.1746165125894895
1978855299174766464,15.900541,16.181492,15.448798,0.7326937,0.13129381751953
1978856944128257024,17.689882,18.263117,16.995043,1.268074,0.136705446337893
1978880175625970560,14.391798,14.69198,13.895976,0.7960043,0.1533288891527114
1978880175625971328,17.148823,17.586555,16.48264,1.1039162,0.1869890614372117
1978880278696557184,16.092817,,,,0.2013711984699261
2162381897427000576,16.73048,17.645275,15.779014,1.8662615,0.414479018875074
2162386123674966016,14.894375,15.424964,14.185283,1.2396812,0.3954549962536987
2162387699915740416,17.89441,18.776516,16.972025,1.804491,0.4507273279425869
2162388352750966912,17.670013,18.601088,16.714743,1.8863449,0.4123627195931477
2162388941175679488,17.853762,18.988064,16.795246,2.1928177,0.4156905778545298
2162389868886298368,16.794333,17.667469,15.851455,1.8160143,0.4374819148653135
2162390109404522368,16.233276,17.160011,15.26991,1.8901014,0.3900429992561607
2162390208177240960,14.52324,15.149805,13.729584,1.4202213,0.3960652169558391
2162390830959043456,16.44106,17.325663,15.510837,1.814826,0.4377863744040078
2162392166682266112,16.353544,17.120737,15.483962,1.636775,0.3798445495503931
2162395847481057920,16.386269,17.283768,15.444541,1.8392267,0.4191461299930679
2162415840540001792,12.597295,13.016071,11.99074,1.0253315,0.4195105149644532
2163431789287978624,17.307795,17.982475,16.487637,1.4948387,0.4808030282152413
2163601668150770944,15.455557,15.69901,15.060177,0.63883305,0.3048426838848493
2163678633968234368,16.5769,17.312838,15.686403,1.6264343,0.1788455338331118
2164197294211769600,13.222867,13.583157,12.683495,0.899662,0.7655828327932981
2164200867624916096,12.678026,12.9258175,12.275461,0.6503563,0.7738422594495107
2164258007870571392,14.661756,14.853314,14.329389,0.5239258,0.2890731542458241
2164439667806178432,12.765877,12.890766,12.524222,0.36654377,0.3065211398639575
2164503611280545152,12.925571,13.291009,12.3724375,0.9185715,0.4910452558648287
2165247946286426496,16.394918,17.081455,15.5807905,1.5006647,0.4684802824270745
2165253065887475712,16.129929,16.630093,15.422121,1.2079716,0.4725172976608833
