cluster,rerun_f1,rerun_precision,rerun_recall,rerun_center_mode,rerun_center_shift_arcmin,rerun_objective,baseline_f1,official_precision,official_recall,official_center_mode,official_center_shift_arcmin,official_objective,delta_f1,delta_precision,delta_recall,center_mode_match,objective_abs_diff,abs_delta_f1
UBC1237,0.2604166666666666,0.1497005988023952,1.0,center0,0.0,0.8723877456303222,0.3663003663003663,0.2242152466367713,1.0,center1_refined,18.35256294045809,0.992140769958496,-0.1058836996336996,-0.0745146478343761,0.0,0,0.1197530243281738,0.1058836996336997
UBC1194,0.0,0.0,0.0,center0,0.0,0.8412287867035766,0.0,0.0,0.0,center1_refined,11.88824777606921,1.33466625213623,0.0,0.0,0.0,0,0.4934374654326539,0.0
