cluster,tier,tier_label,center_off_f1,center_on_f1,delta_f1,center_shift_arcmin_on,selected_center_mode_on,center_off_objective,center_on_objective,center_effect,abs_delta_f1,is_material_case
UBC1339,4,Tier 4 (Borderline Extension),0.471698113207547,0.9468599033816426,0.4751617901740956,16.97648424069518,center1_refined,0.368446599402632,0.0680223526697116,improved,0.4751617901740956,True
UBC1103,3,Tier 3 (Topological Over-expansion),0.2777777777777777,0.2967359050445104,0.01895812726673274,10.20738141629783,center1_refined,1.63906532056352,1.164699866876587,improved,0.01895812726673274,True
UBC1049,2,Tier 2 (Conservative Core),0.6388059701492538,0.1612903225806451,-0.4775156475686086,20.0,center1_refined,0.1461417818703688,-0.0807008715487285,degraded,0.4775156475686086,True
