variant,n_clusters,mean_f1,median_f1,p90_f1,mean_precision,mean_recall,mean_contam,median_runtime_s,success_frac_f1_ge_0_9
full_core,359,0.9708091799783486,1.0,1.0,0.9857458220693236,0.9658874323449111,0.014254177930676404,0.1319242001045495,0.958217270194986
no_anchor_prior,359,0.957860466444261,1.0,1.0,0.9706948397082928,0.9516623777277617,0.029305160291707266,0.0812193999954615,0.924791086350975
no_center_refinement,359,0.949753419061271,1.0,1.0,0.9598193979334668,0.9544271751750675,0.04018060206653311,0.0382852000038838,0.9108635097493036
no_quality_cut,359,0.9487723326506681,1.0,1.0,0.9568463765632566,0.9472814034333249,0.04315362343674337,0.0794494999936432,0.9164345403899722
no_candidate_protocol,359,0.9451676303073218,1.0,1.0,0.9491469364447539,0.9472608463906919,0.0508530635552461,0.2284488000004785,0.9303621169916435
no_objective_regularization,359,0.9448701047937227,1.0,1.0,0.9554266408670627,0.9445283478228089,0.044573359132937244,0.0762747999979183,0.9108635097493036
fixed_single_k,359,0.9177054415616613,0.9870129870129868,1.0,0.9454784233532316,0.9033622144644758,0.05452157664676825,0.0308988000033423,0.8495821727019499
no_support_gate,359,0.2916958847317955,0.4033613445378151,0.680944587327566,0.22643051338251058,0.5062238900485275,0.7735694866174894,0.0861268000007839,0.025069637883008356
