tier,n_clusters,full_core_mean_f1,full_core_median_f1,full_core_mean_precision,full_core_median_precision,full_core_mean_recall,full_core_median_recall,full_core_mean_contam,full_core_median_contam,full_core_mean_runtime_s,full_core_median_runtime_s,no_quality_cut_mean_f1,no_quality_cut_median_f1,no_quality_cut_mean_precision,no_quality_cut_median_precision,no_quality_cut_mean_recall,no_quality_cut_median_recall,no_quality_cut_mean_contam,no_quality_cut_median_contam,no_quality_cut_mean_runtime_s,no_quality_cut_median_runtime_s,no_candidate_protocol_mean_f1,no_candidate_protocol_median_f1,no_candidate_protocol_mean_precision,no_candidate_protocol_median_precision,no_candidate_protocol_mean_recall,no_candidate_protocol_median_recall,no_candidate_protocol_mean_contam,no_candidate_protocol_median_contam,no_candidate_protocol_mean_runtime_s,no_candidate_protocol_median_runtime_s,no_anchor_prior_mean_f1,no_anchor_prior_median_f1,no_anchor_prior_mean_precision,no_anchor_prior_median_precision,no_anchor_prior_mean_recall,no_anchor_prior_median_recall,no_anchor_prior_mean_contam,no_anchor_prior_median_contam,no_anchor_prior_mean_runtime_s,no_anchor_prior_median_runtime_s,fixed_single_k_mean_f1,fixed_single_k_median_f1,fixed_single_k_mean_precision,fixed_single_k_median_precision,fixed_single_k_mean_recall,fixed_single_k_median_recall,fixed_single_k_mean_contam,fixed_single_k_median_contam,fixed_single_k_mean_runtime_s,fixed_single_k_median_runtime_s,no_support_gate_mean_f1,no_support_gate_median_f1,no_support_gate_mean_precision,no_support_gate_median_precision,no_support_gate_mean_recall,no_support_gate_median_recall,no_support_gate_mean_contam,no_support_gate_median_contam,no_support_gate_mean_runtime_s,no_support_gate_median_runtime_s,no_center_refinement_mean_f1,no_center_refinement_median_f1,no_center_refinement_mean_precision,no_center_refinement_median_precision,no_center_refinement_mean_recall,no_center_refinement_median_recall,no_center_refinement_mean_contam,no_center_refinement_median_contam,no_center_refinement_mean_runtime_s,no_center_refinement_median_runtime_s,no_objective_regularization_mean_f1,no_objective_regularization_median_f1,no_objective_regularization_mean_precision,no_objective_regularization_median_precision,no_objective_regularization_mean_recall,no_objective_regularization_median_recall,no_objective_regularization_mean_contam,no_objective_regularization_median_contam,no_objective_regularization_mean_runtime_s,no_objective_regularization_median_runtime_s
0,204,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.1366312671584013,0.13027540000621224,0.95949806464725,1.0,0.9631445170660856,1.0,0.957226074334222,1.0,0.03685548293391431,0.0,0.07785322990183008,0.07649210000090531,0.9536000678595662,1.0,0.9581899659510623,1.0,0.9494426586662468,1.0,0.041810034048937725,0.0,0.22754934166682778,0.19509689999904367,0.9616020300260065,1.0,0.9705882352941176,1.0,0.953497548493966,1.0,0.029411764705882353,0.0,0.07849024901934525,0.0764276000008976,0.9109531737870514,0.9848450057405282,0.9471847601901326,1.0,0.8860346939200155,0.9743589743589745,0.05281523980986738,0.0,0.03010982303874015,0.0291042499993636,0.20633000339886315,0.0,0.14094258200973345,0.0,0.4153789539937749,0.0,0.8590574179902664,1.0,0.08422626862710443,0.08158634999563216,0.9584752497422269,1.0,0.9653194960723632,1.0,0.9616377668802042,1.0,0.03468050392763675,0.0,0.03714065735267446,0.0365702499984763,0.9504296576816184,1.0,0.9582425562817719,1.0,0.9442686249871414,1.0,0.04175744371822804,0.0,0.07382456323509409,0.07201935000193765
1,74,0.9846249761239758,0.9845356715823038,0.9996193376475067,1.0,0.9701538805584466,0.9695423623995052,0.00038066235249333783,0.0,0.13707066892577027,0.13169535004999483,0.9858742732913188,1.0,0.9990371621621623,1.0,0.9754808520502278,1.0,0.000962837837837838,0.0,0.08577417837836573,0.0847551500010013,0.9872818690401569,0.997737556561086,0.9964732942756459,1.0,0.9794727409625268,1.0,0.0035267057243540956,0.0,0.4031785837833013,0.3633737999953155,0.9814738522214562,0.9905651980418335,0.9987496405980447,1.0,0.96731489046287,0.9822994987468672,0.001250359401955146,0.0,0.08648644864877346,0.08422414999949976,0.9807318436414763,0.99009900990099,0.9977886796370838,1.0,0.9664570848507504,0.9809506531204644,0.002211320362916107,0.0,0.037235343243082704,0.0348968999969656,0.4195168371908145,0.4474562135112593,0.33946805905302413,0.3067226890756302,0.6423279795831719,0.946808510638298,0.6605319409469759,0.6932773109243697,0.09346779189188567,0.09100324999599249,0.9835808851721655,0.9905651980418335,0.9984993903477947,1.0,0.9704774176760314,0.9818166790643855,0.0015006096522053947,0.0,0.041297829730005106,0.0406842499978665,0.9833134917540263,0.9906974731741087,0.9984993903477947,1.0,0.9699976616583007,0.9820624195624197,0.0015006096522053947,0.0,0.08226658648620921,0.0815685499983374
2,60,0.9129009033427565,0.9519969278033794,0.9993299172250689,1.0,0.8567149289074719,0.9083916083916084,0.00067008277493102,0.0,0.14535660667655362,0.138189350022003,0.9618333787159551,1.0,0.9992830712303423,1.0,0.9422941080410666,1.0,0.0007169287696577216,0.0,0.08433710833329915,0.08372435000273976,0.9763012829024369,1.0,0.9964749743695165,1.0,0.9641947547567485,1.0,0.0035250256304835367,0.0,0.39672815666623745,0.36180714999863994,0.9583279370053219,1.0,0.9986296296296296,1.0,0.9362408763748945,1.0,0.0013703703703703699,0.0,0.08671998166707147,0.0856776500004343,0.957483072750276,0.9962962962962962,0.9985426731078905,1.0,0.9344034781157012,1.0,0.0014573268921094964,0.0,0.036549096666688714,0.03447654999763465,0.3808972805453885,0.43756888678948197,0.35425165962871075,0.3042164234114698,0.5477032636401241,0.7306359716661535,0.6457483403712891,0.6957835765885302,0.0923513200000646,0.0917000000008556,0.9581258851367954,1.0,0.9992673107890498,1.0,0.9350887412996743,1.0,0.0007326892109500783,0.0,0.041547185000187364,0.0403097500020521,0.9580947284383364,1.0,0.9986296296296296,1.0,0.9358408725002761,1.0,0.0013703703703703699,0.0,0.08207678499990528,0.08088004999808615
3,7,0.5088646283642315,0.3663003663003663,0.42620987904274493,0.2242152466367713,0.8365384615384616,1.0,0.573790120957255,0.7757847533632287,0.18458887139734412,0.1684274999424815,0.57555869453686,0.7413793103448276,0.5037558357219982,0.5909090909090909,0.6848453996983409,0.9743589743589745,0.4962441642780017,0.409090909090909,0.07798371428569739,0.0822846999944886,0.4938088665417858,0.4799999999999999,0.41275751991786264,0.3157894736842105,0.6886834733893556,0.9607843137254902,0.5872424800821374,0.6842105263157895,0.2935516571441049,0.3676725000041188,0.741104502680926,0.8695652173913044,0.6819265976831275,0.7692307692307693,0.8249014221073044,0.9743589743589745,0.3180734023168725,0.2307692307692307,0.08035528571469638,0.0842228000037721,0.5128380662909444,0.6399999999999999,0.435390822995865,0.4705882352941176,0.6886834733893556,0.9607843137254902,0.5646091770041349,0.5294117647058824,0.03250772857427359,0.0322293999997782,0.3781425588785701,0.4936708860759494,0.26038701733047265,0.3277310924369748,0.711484593837535,1.0,0.7396129826695274,0.6722689075630253,0.09198705714100334,0.0914003999932902,0.5784286422160176,0.7428571428571429,0.5097669281545254,0.5909090909090909,0.6849014221073045,0.9607843137254902,0.49023307184547454,0.409090909090909,0.036681271427369155,0.0384062999946763,0.5741211383823227,0.7413793103448276,0.503515335481498,0.5909090909090909,0.6820442792501616,0.9607843137254902,0.496484664518502,0.409090909090909,0.07638794285698423,0.0769766000012168
4,14,0.9515814842812811,0.956893348197696,0.926261067869166,0.9258241758241759,0.9788240060914648,1.0,0.07373893213083392,0.0741758241758241,0.16555830714891528,0.14527659997111186,0.7270037446627075,0.9183333333333333,0.6867387557752229,0.8902900378310215,0.8059112383080775,1.0,0.31326124422477714,0.10970996216897849,0.07718913571287492,0.073237100001279,0.6919405777190496,0.8775777414075288,0.6325837322611517,0.8088888888888889,0.8019206468561858,0.9837653836082745,0.3674162677388484,0.19111111111111112,0.30835207857048125,0.21314345000064344,0.8849014660507718,0.9394525547445256,0.8486221492472931,0.9411564625850339,0.9716592342857303,1.0,0.15137785075270707,0.058843537414965896,0.08028067857230778,0.0788102500009699,0.7149142006825367,0.9081346423562412,0.6717431760310321,0.8485714285714285,0.7966528681028935,0.9763026970411102,0.3282568239689679,0.15142857142857147,0.029692221428766537,0.029326300002139753,0.4344586591680642,0.4394505431346629,0.30984446466970855,0.28160105730199186,0.830157960590457,0.9925373134328358,0.6901555353302913,0.7183989426980081,0.0876184214279679,0.082780749999074,0.793641956365852,0.9215384615384616,0.7311874735136453,0.9134751773049645,0.9821634359664025,1.0,0.2688125264863546,0.08652482269503545,0.036828871428172365,0.03667335000136515,0.7893562420801377,0.9215384615384616,0.7275244698506417,0.9134751773049645,0.9821634359664025,1.0,0.27247553014935827,0.08652482269503545,0.07351237857125979,0.07168860000092536
