cluster,method,n_cone,n_raw_cone,n_quality_rejected,n_true_in_cone,n_pred,precision,recall,f1,contam,runtime_s,center_mode,center_shift_arcmin,objective,tag,extra_1,extra_2
UBC1216,gmm_bic,5829,5829,0,29,291,0.0,0.0,0.0,1.0,1.072950099944137,center0,0.0,6681.12566087103,GMM|k=5|cv=dia,291.0,329.0
UBC1217,gmm_bic,3014,3014,0,14,14,1.0,1.0,1.0,0.0,1.1738898999756202,center0,0.0,11841.18035197621,GMM|k=5|cv=ful,50.0,14.0
UBC1218,gmm_bic,12261,12261,0,61,481,0.0,0.0,0.0,1.0,0.5117704999865964,center0,0.0,3116.8600220370136,GMM|k=5|cv=ful,613.0,481.0
UBC1219,gmm_bic,4020,4020,0,20,23,0.8695652173913043,1.0,0.9302325581395348,0.1304347826086956,1.1649224000284448,center0,0.0,14450.358982276926,GMM|k=4|cv=ful,50.0,23.0
UBC1220,gmm_bic,5829,5829,0,29,29,1.0,1.0,1.0,0.0,0.922916500014253,center0,0.0,5027.398963902951,GMM|k=5|cv=dia,50.0,29.0
UBC1221,gmm_bic,5225,5226,1,25,25,1.0,0.9615384615384616,0.9803921568627452,0.0,1.054948000004515,center0,0.0,9128.421773402675,GMM|k=5|cv=ful,50.0,25.0
UBC1222,gmm_bic,9648,9648,0,48,48,1.0,1.0,1.0,0.0,0.6629061000421643,center0,0.0,8706.718922550715,GMM|k=3|cv=ful,72.0,48.0
UBC1223,gmm_bic,5427,5427,0,27,93,0.2903225806451613,1.0,0.45,0.7096774193548387,1.4818069000029936,center0,0.0,5643.467535464748,GMM|k=5|cv=ful,121.0,93.0
UBC1224,gmm_bic,8039,8040,1,39,39,1.0,0.975,0.9873417721518988,0.0,1.27957819995936,center0,0.0,10468.015303103908,GMM|k=5|cv=ful,57.0,39.0
UBC1225,gmm_bic,6833,6834,1,33,33,1.0,0.9705882352941176,0.9850746268656716,0.0,0.9501316999085248,center0,0.0,6771.076549975856,GMM|k=5|cv=ful,50.0,33.0
UBC1226,gmm_bic,10050,10050,0,50,50,1.0,1.0,1.0,0.0,0.9521516999229788,center0,0.0,5473.371644948484,GMM|k=5|cv=dia,73.0,50.0
UBC1227,gmm_bic,3011,3011,0,11,11,1.0,1.0,1.0,0.0,1.26833639992401,center0,0.0,15987.67403801331,GMM|k=5|cv=dia,50.0,11.0
UBC1228,gmm_bic,5427,5427,0,27,27,1.0,1.0,1.0,0.0,0.8794667000183836,center0,0.0,12035.551895587429,GMM|k=5|cv=ful,50.0,27.0
UBC1229,gmm_bic,3819,3819,0,19,19,1.0,1.0,1.0,0.0,0.7677433000644669,center0,0.0,12782.919044685374,GMM|k=4|cv=ful,50.0,19.0
UBC1230,gmm_bic,3618,3618,0,18,19,0.9473684210526316,1.0,0.972972972972973,0.0526315789473684,0.9595899999840184,center0,0.0,14322.501058769236,GMM|k=4|cv=ful,50.0,19.0
UBC1231,gmm_bic,5226,5226,0,26,26,1.0,1.0,1.0,0.0,0.7991031999699771,center0,0.0,13629.59076974249,GMM|k=5|cv=dia,50.0,26.0
UBC1232,gmm_bic,8039,8040,1,39,39,1.0,0.975,0.9873417721518988,0.0,1.0471158000873402,center0,0.0,6659.547587369443,GMM|k=5|cv=dia,58.0,39.0
UBC1233,gmm_bic,9045,9045,0,45,452,0.0,0.0,0.0,1.0,0.6203207999933511,center0,0.0,5872.794623565684,GMM|k=4|cv=ful,452.0,932.0
UBC1234,gmm_bic,9848,9849,1,48,90,0.5333333333333333,0.979591836734694,0.6906474820143884,0.4666666666666667,1.0945747999940068,center0,0.0,11754.330028979764,GMM|k=5|cv=ful,136.0,90.0
UBC1235,gmm_bic,4020,4020,0,20,201,0.0,0.0,0.0,1.0,1.010484699974768,center0,0.0,16832.70504090643,GMM|k=5|cv=dia,201.0,901.0
UBC1236,gmm_bic,20111,20112,1,111,111,1.0,0.9910714285714286,0.9955156950672646,0.0,0.915511800092645,center0,0.0,4925.740595054636,GMM|k=4|cv=ful,166.0,111.0
UBC1237,gmm_bic,10250,10251,1,50,224,0.2232142857142857,0.9803921568627452,0.3636363636363636,0.7767857142857143,0.5122991999378428,center0,0.0,9164.399733035549,GMM|k=5|cv=ful,331.0,224.0
UBC1238,gmm_bic,4824,4824,0,24,24,1.0,1.0,1.0,0.0,0.841694200062193,center0,0.0,12313.7375070572,GMM|k=4|cv=ful,50.0,24.0
UBC1239,gmm_bic,4622,4623,1,22,22,1.0,0.9565217391304348,0.9777777777777776,0.0,0.949118799995631,center0,0.0,9873.005380122646,GMM|k=5|cv=ful,50.0,22.0
UBC1240,gmm_bic,9446,9447,1,46,46,1.0,0.9787234042553192,0.989247311827957,0.0,1.1533985000569371,center0,0.0,6253.745456670285,GMM|k=5|cv=dia,69.0,46.0
UBC1241,gmm_bic,9848,9849,1,48,48,1.0,0.979591836734694,0.9896907216494846,0.0,0.5239263999974355,center0,0.0,8624.064554660305,GMM|k=5|cv=ful,72.0,48.0
UBC1242,gmm_bic,11658,11658,0,58,58,1.0,1.0,1.0,0.0,1.0904409000650048,center0,0.0,8018.856974034143,GMM|k=4|cv=dia,85.0,58.0
UBC1243,gmm_bic,6230,6231,1,30,30,1.0,0.967741935483871,0.9836065573770492,0.0,1.193321599974297,center0,0.0,8264.756699536802,GMM|k=5|cv=dia,50.0,30.0
