cluster,method,n_cone,n_raw_cone,n_quality_rejected,n_true_in_cone,n_pred,precision,recall,f1,contam,runtime_s,center_mode,center_shift_arcmin,objective,tag,extra_1,extra_2
UBC1306,heuristic_cut,14068,14069,1,69,368,0.0760869565217391,0.4,0.1278538812785388,0.9239130434782608,0.0213042999384924,center0,0.0,1.8864139560358888,HC_SINGLE_SIGMA_2.50,484.0,
UBC1307,heuristic_cut,11457,11457,0,57,58,0.9827586206896552,1.0,0.9913043478260868,0.0172413793103448,0.0309167999075725,center0,0.0,0.8472571396171349,HC_SINGLE_SIGMA_2.50,490.0,
UBC1308,heuristic_cut,3618,3618,0,18,18,1.0,1.0,1.0,0.0,0.0200680999550968,center0,0.0,0.6028427183901652,HC_SINGLE_SIGMA_2.50,488.0,
UBC1309,heuristic_cut,20108,20109,1,108,108,1.0,0.9908256880733946,0.9953917050691244,0.0,0.0352866000030189,center0,0.0,1.008320024625074,HC_SINGLE_SIGMA_2.50,486.0,
UBC1310,heuristic_cut,3818,3819,1,18,18,1.0,0.9473684210526316,0.972972972972973,0.0,0.0117298000259324,center0,0.0,0.6156618651276216,HC_SINGLE_SIGMA_2.50,488.0,
UBC1311,heuristic_cut,5628,5628,0,28,28,1.0,1.0,1.0,0.0,0.0143559999996796,center0,0.0,0.7032270965049547,HC_SINGLE_SIGMA_2.50,482.0,
UBC1312,heuristic_cut,5226,5226,0,26,26,1.0,1.0,1.0,0.0,0.015216999920085,center0,0.0,0.6820131946559869,HC_SINGLE_SIGMA_2.50,488.0,
UBC1313,heuristic_cut,7035,7035,0,35,35,1.0,1.0,1.0,0.0,0.0158357999753206,center0,0.0,0.7400251070626839,HC_SINGLE_SIGMA_2.50,488.0,
UBC1314,heuristic_cut,13266,13266,0,66,66,1.0,1.0,1.0,0.0,0.018458200036548,center0,0.0,0.889735553880072,HC_SINGLE_SIGMA_2.50,487.0,
UBC1315,heuristic_cut,8442,8442,0,42,43,0.9767441860465116,1.0,0.988235294117647,0.0232558139534884,0.0144592999713495,center0,0.0,0.7924675307954263,HC_SINGLE_SIGMA_2.50,488.0,
UBC1316,heuristic_cut,5628,5628,0,28,28,1.0,1.0,1.0,0.0,0.0098431999795138,center0,0.0,0.6955025934497399,HC_SINGLE_SIGMA_2.50,483.0,
UBC1317,heuristic_cut,6029,6030,1,29,29,1.0,0.9666666666666668,0.983050847457627,0.0,0.0095679999794811,center0,0.0,0.7071936913523724,HC_SINGLE_SIGMA_2.50,483.0,
UBC1318,heuristic_cut,8241,8241,0,41,44,0.9318181818181818,1.0,0.9647058823529412,0.0681818181818182,0.0178355999523773,center0,0.0,0.8129597874578768,HC_SINGLE_SIGMA_2.50,482.0,
UBC1319,heuristic_cut,13266,13266,0,66,66,1.0,1.0,1.0,0.0,0.0162315999623388,center0,0.0,0.8874583248988155,HC_SINGLE_SIGMA_2.50,486.0,
UBC1320,heuristic_cut,3216,3216,0,16,16,1.0,1.0,1.0,0.0,0.0072240999434143,center0,0.0,0.5791724573500568,HC_SINGLE_SIGMA_2.50,486.0,
UBC1321,heuristic_cut,3010,3010,0,10,344,0.0,0.0,0.0,1.0,0.0080353999510407,center0,0.0,3.0436340199724343,HC_SINGLE_SIGMA_2.50,488.0,
UBC1322,heuristic_cut,4623,4623,0,23,23,1.0,1.0,1.0,0.0,0.0088443999411538,center0,0.0,0.6586370200976711,HC_SINGLE_SIGMA_2.50,479.0,
UBC1323,heuristic_cut,5829,5829,0,29,29,1.0,1.0,1.0,0.0,0.0128124000038951,center0,0.0,0.7004409060571244,HC_SINGLE_SIGMA_2.50,486.0,
UBC1324,heuristic_cut,8844,8844,0,44,44,1.0,1.0,1.0,0.0,0.013608600012958,center0,0.0,0.7923962502029472,HC_SINGLE_SIGMA_2.50,484.0,
UBC1325,heuristic_cut,4422,4422,0,22,31,0.7096774193548387,1.0,0.8301886792452831,0.2903225806451612,0.0082661999622359,center0,0.0,0.8995149265554669,HC_SINGLE_SIGMA_2.50,485.0,
UBC1326,heuristic_cut,4824,4824,0,24,24,1.0,1.0,1.0,0.0,0.0083998999325558,center0,0.0,0.6612519006102321,HC_SINGLE_SIGMA_2.50,477.0,
UBC1327,heuristic_cut,6229,6231,2,29,29,1.0,0.935483870967742,0.9666666666666666,0.0,0.0197429000400006,center0,0.0,0.7228676528427651,HC_SINGLE_SIGMA_2.50,486.0,
UBC1328,heuristic_cut,3015,3015,0,15,15,1.0,1.0,1.0,0.0,0.0060821000952273,center0,0.0,0.5630937026477553,HC_SINGLE_SIGMA_2.50,486.0,
UBC1329,heuristic_cut,4422,4422,0,22,22,1.0,1.0,1.0,0.0,0.0067964000627398,center0,0.0,0.643343768744397,HC_SINGLE_SIGMA_2.50,487.0,
UBC1330,heuristic_cut,11456,11457,1,56,56,1.0,0.9824561403508772,0.991150442477876,0.0,0.014300899929367,center0,0.0,0.833951412299682,HC_SINGLE_SIGMA_2.50,490.0,
UBC1331,heuristic_cut,7637,7638,1,37,37,1.0,0.9736842105263158,0.9866666666666666,0.0,0.0096208000322803,center0,0.0,0.7488863017599592,HC_SINGLE_SIGMA_2.50,480.0,
UBC1332,heuristic_cut,6030,6030,0,30,30,1.0,1.0,1.0,0.0,0.0106232999823987,center0,0.0,0.710356595839661,HC_SINGLE_SIGMA_2.50,482.0,
